Title,Author,Video Link
Lissajous Curves,by Suzanne von Oy,https://www.desmos.com/calculator/tyjkpwuotb
Roration,by Iwabuchi Takashi,https://www.desmos.com/calculator/rqshkxwf3p
Math,by milo aronica,https://www.desmos.com/calculator/1dwha9thao
Custom Waves,by Emma Phillips,https://www.desmos.com/calculator/8ruwco9oml
Cardioid Modular Multiplication Table,by Nick Straka,https://www.desmos.com/calculator/twg4tv0egq
Solids of Revolution (about y-axis),by Sentherus Argentum,https://www.desmos.com/calculator/uxuttnonb1
Simpson's Rule,by Thomas A Kuczmarski,https://www.desmos.com/calculator/7s6pq5ysld
Random Cyclic Curves,by Laura Bostan,https://www.desmos.com/calculator/uijviewndm
"Fun Graphing with tan, sin and cos",by The Geometry Guy,https://www.desmos.com/calculator/zlql3e8m42
Regular Moving and Growing and Shrinking Circle,by The Geometry Guy,https://www.desmos.com/calculator/tw5xhfgmxa
Piston,by Jacob -Nihilo-,https://www.desmos.com/calculator/qalv8wzjkt
Polar Graph: Majestic Butterfly,by Rebecca Martino,https://www.desmos.com/calculator/pgyxrshobg
Implcit Page of research,by Bharath Krishnan,https://www.desmos.com/calculator/czb7odvgva
Sun to Moon,by MOHAMMAD AMIN,https://www.desmos.com/calculator/ii2ljwqmyu
Approximating Pi (Method 1),by nin10dorox,https://www.desmos.com/calculator/p3zeajcgle
Simple Engine,by Richard Joy,https://www.desmos.com/calculator/mhv8oesbr8
Force Vector Simulation,by Matthew Douglas Smith,https://www.desmos.com/calculator/bpg9oesd2m
Odd Example #1,by Gilbert Ymbert III,https://www.desmos.com/calculator/aeywhbh7th
Phasor,by Marc Katzef,https://www.desmos.com/calculator/gzmoe8w5hx
General Sinusoidal Function Transformations,by A. Busch,https://www.desmos.com/calculator/absl7xylcv
Complex roots of a quadratic,by 314Piman,https://www.desmos.com/calculator/wdotnrue96
Right_Riem_Sum_1,by Dave Marain,https://www.desmos.com/calculator/rfix3pe1oh
Investigation_Quadratic Functions and their Inverses,by Dave Marain,https://www.desmos.com/calculator/hmn49xqtk8
Radial Engine WIth 5 Radial Points by Ron,by Ron Oppenheimer,https://www.desmos.com/calculator/ztqlstehu6
Mutually tangent circles (five),by Joshua Bowman,https://www.desmos.com/calculator/qn8mm59hpb
12.6.15,by no name,https://www.desmos.com/calculator/wiihpirlid
spirograph,by Kaden Hellewell,https://www.desmos.com/calculator/91q2azywgk
First Derivative Test,by Geoff Patterson,https://www.desmos.com/calculator/dlbxpkrypf
dilation,by Camille Seaberry,https://www.desmos.com/calculator/gwuj1x464h
Axis bending 2,by Maxwell Nogueira Peixoto,https://www.desmos.com/calculator/z4fixnwmlk
Hypocycloids and pedal curves,by Joshua Bowman,https://www.desmos.com/calculator/029zrabdnc
Local Extrema Finder,by Geoff Patterson,https://www.desmos.com/calculator/qgog7egjmg
Local Extrema Finder,by Geoff Patterson,https://www.desmos.com/calculator/4bcktfbguj
Solids of Revolution (about y-axis),by Geoff Patterson,https://www.desmos.com/calculator/8qdpedyypl
Optimizing a Rectangle Under a Curve,by Nathan Balk,https://www.desmos.com/calculator/qtfee4kxwb
Conical tank,by rk,https://www.desmos.com/calculator/5szcnphat1
Conic Sections: Ellipse with Foci,by Oras P.,https://www.desmos.com/calculator/aqw6b4hdeo
Normal Sine Integration,by Spencer Pantoja,https://www.desmos.com/calculator/ak5ug720ot
Least Squares,by Jos\u00e9 Carlos,https://www.desmos.com/calculator/pzmeb05tmg
Parabola defined by 3 points,by Paul Rossi,https://www.desmos.com/calculator/lac2i0bgum
Geometry of the deltoid,by Joshua Bowman,https://www.desmos.com/calculator/q5ebf9gvmj
Geometry of the deltoid,by Joshua Bowman,https://www.desmos.com/calculator/eazbbjlcbe
Division Game,by Geoff Patterson,https://www.desmos.com/calculator/e3m5tzxd0f
Serie de Fourir ejemplo 1,by Eze sko,https://www.desmos.com/calculator/zxpzecltqz
Similar Triangles and Slope,by meehank,https://www.desmos.com/calculator/nmeywvsmm2
Daylight hours and derivatives,by Gariel Grant,https://www.desmos.com/calculator/opbkrkkxmk
circle,by wilderuhl,https://www.desmos.com/calculator/xz6plr05xy
Trig definitions animation v2,by Kitzeln Siebert,https://www.desmos.com/calculator/ycy3knm6jz
Derivative Function,by Matt Roscoe,https://www.desmos.com/calculator/l0puzw0zvm
Demostraci\u00f3n del seno y del coseno,by Julian Medina,https://www.desmos.com/calculator/rdaohj4jcj
Epsilon-Delta Game (Example 3),by Geoff Patterson,https://www.desmos.com/calculator/m2wajnfmyg
scara: theta input,by Stevie Lucardi,https://www.desmos.com/calculator/35zxjujff5
Human7.1,by Xavier Lariviere,https://www.desmos.com/calculator/antqrwyuq1
Quantization of two wave forms in motion,by Laura Marchetti,https://www.desmos.com/calculator/2fn5f22bc5
movable circle,by qqs888,https://www.desmos.com/calculator/vjepcfyao7
6.1 Trig Ratios for any Any Angle in Standard Position,by O. Ng,https://www.desmos.com/calculator/88m1bw6vnn
de Broglie matter wave function,by Fernando Freitas Alves,https://www.desmos.com/calculator/1eam5imlit
Epitrochoid,by t,https://www.desmos.com/calculator/u0bupudip5
Sum of sin(nx),by Joshua Bowman,https://www.desmos.com/calculator/fs0hzm6zgd
Linear Regression: Median Slopes,by Luke Walsh,https://www.desmos.com/calculator/sdyufyx90u
Learn translations with desmos and truck,by Sol\u00edn,https://www.desmos.com/calculator/vwuni9il5u
Crank Mechanism (interactive),by Ernest Wong,https://www.desmos.com/calculator/8l2kvyivqo
"giro B y centro (cx, cy)",by Sol\u00edn,https://www.desmos.com/calculator/fl7eeemfcy
Integral de cualquier f(x),by Sol\u00edn,https://www.desmos.com/calculator/tbtbztbde2
Moon Phases,by Christihanna,https://www.desmos.com/calculator/i4gkz3b8dm
3D - f0-f6 view one,by Thomas A Kuczmarski,https://www.desmos.com/calculator/vymzvpqp3k
two wheels,by Paul,https://www.desmos.com/calculator/qsdjphaphy
Beat Frequency,by Dave Lurie,https://www.desmos.com/calculator/jxkkvipox9
Polar Coordinates,by Jim,https://www.desmos.com/calculator/ms3eghkkgz
Parabola: D and F,by David Wiggins,https://www.desmos.com/calculator/ifxlfm14cu
Focus of Parabola,by Rachel,https://www.desmos.com/calculator/uz7b0upjyb
polar grapher,by Dan Anderson,https://www.desmos.com/calculator/ifl4tzzrqt
Hyperbola2,by Dan Anderson,https://www.desmos.com/calculator/9lm5q01214
Fourier series,by gabkosit,https://www.desmos.com/calculator/lab9nylxsi
Sine Function (with unit circle),by Meghan Riling,https://www.desmos.com/calculator/d6dgbzycfe
sinx/x,by \u0410\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440 \u041a\u043e\u043d\u043e\u043d\u043e\u0432,https://www.desmos.com/calculator/wp8ine4hmf
Pentagram,by Thomas Beasley,https://www.desmos.com/calculator/89ysjvjdqs
Circle Demo!,by Andrew Murray,https://www.desmos.com/calculator/gojtzw3ral
rampe,by \u00c9ric D\u00c9TREZ,https://www.desmos.com/calculator/5x7tmalkuh
Jack's Works #1,by jackgeddins,https://www.desmos.com/calculator/2xd27mao80
Demonstration of sine,by Evan Rudibaugh,https://www.desmos.com/calculator/noubctwboe
M\u00f6bius's band,by Vicente AlfaRo,https://www.desmos.com/calculator/dpaofym9pk
polarkoordinaten,by Simon Schl\u00e4pfer,https://www.desmos.com/calculator/6ket1q8401
Taylor Series of degree D at x_0 for sin(x),by Evan Rudibaugh,https://www.desmos.com/calculator/hmmutc9ija
Aproksymacja liczby pi,by Rados\u0142aw D\u0105browski,https://www.desmos.com/calculator/i2mgzj5dwe
Areas Between Curves,by Thomas A Kuczmarski,https://www.desmos.com/calculator/g92zg0tbj1
Limit Definition of Derivative,by Matthew DiDonato,https://www.desmos.com/calculator/jurnqtcltf
Parabola construction,by michieldrost,https://www.desmos.com/calculator/rmbn2u1ebn
"3D Vector Field (Finished, but slow)",by Evan Rudibaugh,https://www.desmos.com/calculator/fxyblyiik6
Quadratics: Vertex and Axis of Symmetry,by Luke Walsh,https://www.desmos.com/calculator/hgaq5tpaca
Spirographer,by Evan Rudibaugh,https://www.desmos.com/calculator/m1olsmeibu
Vector Field Generator,by Evan Rudibaugh,https://www.desmos.com/calculator/eijhparfmd
A example of topology,by Vicente AlfaRo,https://www.desmos.com/calculator/r35eyt51ca
Ellipse with foci,by Ronald Williams,https://www.desmos.com/calculator/7syd6xjvvq
The effect of a in the standard format,by Evan Rudibaugh,https://www.desmos.com/calculator/j5nokklipc
Bezier Curves,by Christopher Hinton,https://www.desmos.com/calculator/cahqdxeshd
Gradient grapher for z=xy,by Evan Rudibaugh,https://www.desmos.com/calculator/el5syd7ugj
Fastest path to point,by Eric,https://www.desmos.com/calculator/mxsu0bpdws
Parabolic Tangents,by Aldo Torres,https://www.desmos.com/calculator/tltkdqrfkj
Blank Unit Circle (16 points),by Rebecka Peterson,https://www.desmos.com/calculator/da8j8dy1g1
